name,station_number,elevation,easting_original,northing_original,easting,northing
 540_ 179,1866,1578.832,2701739.913,1171679.489,539.9130000001751,179.4890000000596
 472_ 153,1867,1555.47,2701671.746,1171653.121,471.74599999981,153.12100000004284
 501_ 154,1868,1561.122,2701701.14,1171654.476,501.1400000001304,154.47600000002421
 529_ 151,1869,1562.283,2701728.891,1171651.246,528.8909999998286,151.24600000004284
1605_1438,1872,2289.725,2702804.662,1172938.142,1604.6620000000112,1438.1419999999925
1661_1438,1873,2289.977,2702860.795,1172938.323,1660.7949999999255,1438.3230000000913
1717_1438,1874,2283.954,2702916.717,1172938.117,1716.7170000001788,1438.1170000000857
1772_1438,1875,2277.262,2702971.988,1172938.176,1771.9879999998957,1438.1759999999776
1829_1438,1876,2265.61,2703028.76,1172938.283,1828.7599999997765,1438.283000000054
1885_1438,1877,2253.266,2703084.816,1172938.403,1884.816000000108,1438.402999999933
